year,campus,programme,category,list,lowest_rank_admitted,source_url
2082,Pashchimanchal,Civil,Full-fee,first,2448,https://ioepas.edu.np/5794
2082,Pashchimanchal,Civil,Regular,first,693,https://ioepas.edu.np/5794
2082,Pashchimanchal,Computer,Full-fee,first,647,https://ioepas.edu.np/5794
2082,Pashchimanchal,Computer,Regular,first,164,https://ioepas.edu.np/5794
2082,Pashchimanchal,Electrical,Full-fee,first,2988,https://ioepas.edu.np/5794
2082,Pashchimanchal,Electrical,Regular,first,697,https://ioepas.edu.np/5794
2082,Pashchimanchal,"Electronics, Communication and Information",Full-fee,first,1703,https://ioepas.edu.np/5794
2082,Pashchimanchal,"Electronics, Communication and Information",Regular,first,408,https://ioepas.edu.np/5794
2082,Pashchimanchal,Geomatics,Full-fee,first,4020,https://ioepas.edu.np/5794
2082,Pashchimanchal,Geomatics,Regular,first,1291,https://ioepas.edu.np/5794
2082,Pashchimanchal,Mechanical,Full-fee,first,3378,https://ioepas.edu.np/5794
2082,Pashchimanchal,Mechanical,Regular,first,916,https://ioepas.edu.np/5794
2082,Pulchowk,Aerospace,Full-fee,first,1670,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Aerospace,Regular,first,386,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Architecture,Full-fee,first,2114,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Architecture,Regular,first,1270,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Chemical,Full-fee,first,2637,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Chemical,Regular,first,841,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Civil,Full-fee,first,787,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Civil,Regular,first,318,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Computer,Full-fee,first,179,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Computer,Regular,first,27,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Electrical,Full-fee,first,1009,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Electrical,Regular,first,370,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,"Electronics, Communication and Information",Full-fee,first,330,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,"Electronics, Communication and Information",Regular,first,84,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Mechanical,Full-fee,first,943,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Pulchowk,Mechanical,Regular,first,334,https://pcampus.edu.np/2025/10/09/be-barch-admission-2082-revised-first-admission-list/
2082,Purwanchal,Agriculture,Full-fee,first,6546,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Agriculture,Regular,first,3003,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Architecture,Full-fee,first,6563,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Architecture,Regular,first,3321,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Civil,Full-fee,first,3821,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Civil,Regular,first,1017,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Computer,Full-fee,first,1598,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Computer,Regular,first,384,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Electrical,Full-fee,first,4595,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Electrical,Regular,first,1258,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,"Electronics, Communication and Information",Full-fee,first,3184,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,"Electronics, Communication and Information",Regular,first,942,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Mechanical,Full-fee,first,4953,https://admission.ioepc.edu.np/notice-details/12
2082,Purwanchal,Mechanical,Regular,first,1592,https://admission.ioepc.edu.np/notice-details/12
2082,Thapathali,Architecture,Full-fee,first,2581,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Architecture,Regular,first,1018,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Automobile,Full-fee,first,4706,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Automobile,Regular,first,1096,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Civil,Full-fee,first,1200,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Civil,Regular,first,387,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Computer,Full-fee,first,273,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Computer,Regular,first,75,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,"Electronics, Communication and Information",Full-fee,first,718,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,"Electronics, Communication and Information",Regular,first,224,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Industrial,Full-fee,first,4724,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Industrial,Regular,first,1665,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Mechanical,Full-fee,first,1860,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2082,Thapathali,Mechanical,Regular,first,463,https://cdn.tcioe.edu.np/media/files/Admission_Admission_General_174900.pdf
2081,Pashchimanchal,Civil,Full-fee,first,1842,https://ioepas.edu.np/4832
2081,Pashchimanchal,Civil,Regular,first,569,https://ioepas.edu.np/4832
2081,Pashchimanchal,Computer,Full-fee,first,590,https://ioepas.edu.np/4832
2081,Pashchimanchal,Computer,Regular,first,114,https://ioepas.edu.np/4832
2081,Pashchimanchal,Electrical,Full-fee,first,3750,https://ioepas.edu.np/4832
2081,Pashchimanchal,Electrical,Regular,first,991,https://ioepas.edu.np/4832
2081,Pashchimanchal,"Electronics, Communication and Information",Full-fee,first,1824,https://ioepas.edu.np/4832
2081,Pashchimanchal,"Electronics, Communication and Information",Regular,first,423,https://ioepas.edu.np/4832
2081,Pashchimanchal,Geomatics,Full-fee,first,4192,https://ioepas.edu.np/4832
2081,Pashchimanchal,Geomatics,Regular,first,1459,https://ioepas.edu.np/4832
2081,Pashchimanchal,Mechanical,Full-fee,first,3350,https://ioepas.edu.np/4832
2081,Pashchimanchal,Mechanical,Regular,first,1096,https://ioepas.edu.np/4832
2081,Pulchowk,Aerospace,Full-fee,first,1618,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Aerospace,Regular,first,393,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Architecture,Full-fee,first,1718,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Architecture,Regular,first,848,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Chemical,Full-fee,first,3028,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Chemical,Regular,first,809,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Civil,Full-fee,first,664,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Civil,Regular,first,285,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Computer,Full-fee,first,174,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Computer,Regular,first,34,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Electrical,Full-fee,first,1379,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,Electrical,Regular,first,518,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
2081,Pulchowk,"Electronics, Communication and Information",Full-fee,first,410,https://pcampus.edu.np/downloads/2081/be/BEBArch_First_Admission_List_2081.pdf
